,YEAR,PLAYER,PLAYER HH,DIFF,REAL VALUE,SALARY,Games played,,
Kevin Durant 2010-11,2010-11,Kevin Durant,Kevin Durant,"$16,930,715","$22,984,378","$6,053,663",95,U,OKC
Jayson Tatum 2020-21,2020-21,Jayson Tatum,Jayson Tatum,"$16,907,302","$26,804,422","$9,897,120",70,U,BOS
Nikola Jokic 2016-17,2016-17,Nikola Jokic,Nikola Jokic,"$16,665,035","$18,023,535","$1,358,500",73,U,DEN
Karl-Anthony Towns 2018-19,2018-19,Karl-Anthony Towns,Karl-Anthony Towns,"$16,584,115","$24,423,550","$7,839,435",77,U,MIN
Derrick Rose 2011-12,2011-12,Derrick Rose,Derrick Rose,"$16,581,617","$23,575,325","$6,993,708",40,U,CHI
Jimmy Butler 2014-15,2014-15,Jimmy Butler,Jimmy Butler,"$16,476,138","$18,595,352","$2,119,214",77,U,CHI
Giannis Antetokounmpo 2018-19,2018-19,Giannis Antetokounmpo,Giannis Antetokounmpo,"$16,371,097","$40,528,401","$24,157,304",87,U,MIL
Vince Carter 2000-01,2000-01,Vince Carter,Vince Carter,"$16,247,952","$18,673,392","$2,425,440",87,U,TOR
Nikola Jokic 2020-21,2020-21,Nikola Jokic,Nikola Jokic,"$15,960,105","$45,502,115","$29,542,010",82,U,DEN
Ben Simmons 2019-20,2019-20,Ben Simmons,Ben Simmons,"$15,839,412","$23,953,341","$8,113,929",57,U,PHI
James Harden 2012-13,2012-13,James Harden,James Harden,"$15,547,681","$21,368,097","$5,820,416",84,U,HOU
Rudy Gobert 2016-17,2016-17,Rudy Gobert,Rudy Gobert,"$15,500,954","$17,622,241","$2,121,287",90,U,UTA
LeBron James 2010-11,2010-11,LeBron James,LeBron James,"$15,440,894","$29,940,894","$14,500,000",100,U,MIA
Kawhi Leonard 2016-17,2016-17,Kawhi Leonard,Kawhi Leonard,"$15,331,795","$32,969,858","$17,638,063",86,U,SAS
Pascal Siakam 2018-19,2018-19,Pascal Siakam,Pascal Siakam,"$15,203,992","$16,748,943","$1,544,951",104,U,TOR
Deron Williams 2007-08,2007-08,Deron Williams,Deron Williams,"$15,196,281","$19,206,921","$4,010,640",94,U,UTA
Dirk Nowitzki 2001-02,2001-02,Dirk Nowitzki,Dirk Nowitzki,"$15,049,359","$17,206,954","$2,157,595",84,U,DAL
Clint Capela 2017-18,2017-18,Clint Capela,Clint Capela,"$15,041,103","$17,375,631","$2,334,528",91,U,HOU
Damian Lillard 2015-16,2015-16,Damian Lillard,Damian Lillard,"$14,988,243","$19,224,529","$4,236,286",86,U,POR
De'Aaron Fox 2020-21,2020-21,De'Aaron Fox,De'Aaron Fox,"$14,839,581","$22,939,208","$8,099,627",58,U,SAC
MarShon Brooks 2017-18,2017-18,MarShon Brooks,MarShon Brooks,"$14,718,653","$14,804,771","$86,118",7,U,MEM
Russell Westbrook 2010-11,2010-11,Russell Westbrook,Russell Westbrook,"$14,696,584","$18,714,304","$4,017,720",99,U,OKC
Anthony Davis 2019-20,2019-20,Anthony Davis,Anthony Davis,"$14,581,462","$41,674,481","$27,093,019",83,U,LAL
James Harden 2017-18,2017-18,James Harden,James Harden,"$14,529,827","$42,829,226","$28,299,399",89,U,HOU
Donovan Mitchell 2018-19,2018-19,Donovan Mitchell,Donovan Mitchell,"$14,519,972","$17,631,452","$3,111,480",82,U,UTA
Michael Porter Jr. 2020-21,2020-21,Michael Porter Jr.,Michael Porter,"$14,312,876","$17,863,676","$3,550,800",71,U,DEN
JaKarr Sampson 2018-19,2018-19,JaKarr Sampson,JaKarr Sampson,"$14,295,906","$14,381,363","$85,457",4,U,CHI
Darius Garland 2021-22,2021-22,Darius Garland,Darius Garland,"$14,267,999","$21,308,879","$7,040,880",70,U,CLE
Kevin Durant 2013-14,2013-14,Kevin Durant,Kevin Durant,"$14,239,892","$33,013,068","$18,773,176",100,U,OKC
Shai Gilgeous-Alexander 2019-20,2019-20,Shai Gilgeous-Alexander,Shai Gilgeous-Alexander,"$14,205,387","$18,158,307","$3,952,920",77,U,OKC
Russell Westbrook 2011-12,2011-12,Russell Westbrook,Russell Westbrook,"$14,201,338","$19,283,754","$5,082,416",86,U,OKC
Devin Booker 2018-19,2018-19,Devin Booker,Devin Booker,"$14,193,102","$17,507,467","$3,314,365",64,U,PHX
Stephen Curry 2012-13,2012-13,Stephen Curry,Stephen Curry,"$14,189,704","$18,148,446","$3,958,742",90,U,GSW
Brandon Roy 2009-10,2009-10,Brandon Roy,Brandon Roy,"$14,183,311","$18,094,127","$3,910,816",68,U,POR
Jalen Brunson 2021-22,2021-22,Jalen Brunson,Jalen Brunson,"$14,103,446","$15,905,503","$1,802,057",97,U,DAL
Joel Embiid 2017-18,2017-18,Joel Embiid,Joel Embiid,"$14,095,073","$20,195,339","$6,100,266",71,U,PHI
Chauncey Billups 2005-06,2005-06,Chauncey Billups,Chauncey Billups,"$14,057,038","$19,966,838","$5,909,800",99,U,DET
LeBron James 2013-14,2013-14,LeBron James,LeBron James,"$13,978,341","$33,045,841","$19,067,500",97,U,MIA
Kevin Durant 2012-13,2012-13,Kevin Durant,Kevin Durant,"$13,958,344","$31,507,182","$17,548,838",92,U,OKC
Tracy McGrady 2002-03,2002-03,Tracy McGrady,Tracy McGrady,"$13,923,496","$25,995,996","$12,072,500",82,U,ORL
Devonte' Graham 2019-20,2019-20,Devonte' Graham,Devonte Graham,"$13,921,847","$15,338,699","$1,416,852",63,U,CHA
Metta World Peace 2004-05,2004-05,Metta World Peace,Metta World Peace,"$13,805,831","$19,963,726","$6,157,895",7,U,IND
Ben Simmons 2018-19,2018-19,Ben Simmons,Ben Simmons,"$13,715,063","$20,149,583","$6,434,520",91,U,PHI
Andrei Kirilenko 2003-04,2003-04,Andrei Kirilenko,Andrei Kirilenko,"$13,685,462","$14,641,262","$955,800",78,U,UTA
Rajon Rondo 2009-10,2009-10,Rajon Rondo,Rajon Rondo,"$13,674,381","$15,769,303","$2,094,922",105,U,BOS
Paul Pierce 2001-02,2001-02,Paul Pierce,Paul Pierce,"$13,620,247","$15,671,518","$2,051,271",98,U,BOS
Paul George 2013-14,2013-14,Paul George,Paul George,"$13,553,846","$16,835,849","$3,282,003",99,U,IND
Tyrese Maxey 2021-22,2021-22,Tyrese Maxey,Tyrese Maxey,"$13,398,644","$16,001,564","$2,602,920",87,U,PHI
Rajon Rondo 2008-09,2008-09,Rajon Rondo,Rajon Rondo,"$13,270,123","$14,585,203","$1,315,080",94,U,BOS
Chris Bosh 2006-07,2006-07,Chris Bosh,Chris Bosh,"$13,166,929","$17,402,149","$4,235,220",75,U,TOR
Nikola Jokic 2021-22,2021-22,Nikola Jokic,Nikola Jokic,"$13,123,396","$44,168,302","$31,044,906",79,U,DEN
James Harden 2014-15,2014-15,James Harden,James Harden,"$13,038,028","$27,731,934","$14,693,906",98,U,HOU
Ben Simmons 2017-18,2017-18,Ben Simmons,Ben Simmons,"$12,906,900","$19,075,740","$6,168,840",91,U,PHI
Hassan Whiteside 2015-16,2015-16,Hassan Whiteside,Hassan Whiteside,"$12,822,954","$13,804,302","$981,348",83,U,MIA
Ty Lawson 2011-12,2011-12,Ty Lawson,Ty Lawson,"$12,815,665","$14,470,105","$1,654,440",68,U,DEN
Anthony Davis 2013-14,2013-14,Anthony Davis,Anthony Davis,"$12,791,938","$18,167,698","$5,375,760",67,U,NOP
Jamal Murray 2018-19,2018-19,Jamal Murray,Jamal Murray,"$12,786,019","$16,285,819","$3,499,800",89,U,DEN
Monta Ellis 2007-08,2007-08,Monta Ellis,Monta Ellis,"$12,772,952","$13,543,562","$770,610",81,U,GSW
