,YEAR,PLAYER,PLAYER HH,DIFF,REAL VALUE,SALARY,Games played,,
Patrick Patterson 2013-14,2013-14,Patrick Patterson,Patrick Patterson,"$1,177,476","$4,282,777","$3,105,301",72,U,"SAC, TOR"
Derrick Walton Jr. 2017-18,2017-18,Derrick Walton Jr.,Derrick Walton,"$1,176,608","$1,253,858","$77,250",16,U,MIA
Qyntel Woods 2005-06,2005-06,Qyntel Woods,Qyntel Woods,"$1,176,464","$1,776,298","$599,834",49,U,NYK
Nathan Knight 2021-22,2021-22,Nathan Knight,Nathan Knight,"$1,176,102","$1,638,731","$462,629",37,U,MIN
Terry Porter 2000-01,2000-01,Terry Porter,Terry Porter,"$1,175,808","$3,375,808","$2,200,000",93,U,SAS
Tyler Cook 2021-22,2021-22,Tyler Cook,Tyler Cook,"$1,175,330","$1,637,959","$462,629",20,U,CHI
Shelvin Mack 2018-19,2018-19,Shelvin Mack,Shelvin Mack,"$1,174,615","$3,687,216","$2,512,601",57,U,"CHA, MEM"
Oliver Miller 1993-94,1993-94,Oliver Miller,Oliver Miller,"$1,173,034","$1,845,034","$672,000",79,U,PHX
Emanuel Terry 2018-19,2018-19,Emanuel Terry,Emanuel Terry,"$1,171,850","$1,266,590","$94,740",3,U,"MIA, PHX"
Trent Forrest 2020-21,2020-21,Trent Forrest,Trent Forrest,"$1,170,642","$1,641,332","$470,690",34,U,UTA
Larry Nance 1990-91,1990-91,Larry Nance,Larry Nance,"$1,169,517","$2,429,517","$1,260,000",80,U,CLE
Hubert Davis 1997-98,1997-98,Hubert Davis,Hubert Davis,"$1,169,301","$1,706,801","$537,500",81,U,DAL
Antoine Walker 2000-01,2000-01,Antoine Walker,Antoine Walker,"$1,169,150","$11,299,150","$10,130,000",81,U,BOS
Cedric Ceballos 1992-93,1992-93,Cedric Ceballos,Cedric Ceballos,"$1,168,862","$1,518,862","$350,000",90,U,PHX
Eddie House 2001-02,2001-02,Eddie House,Eddie House,"$1,167,504","$1,633,354","$465,850",64,U,MIA
Terry Porter 1991-92,1991-92,Terry Porter,Terry Porter,"$1,167,314","$2,954,314","$1,787,000",103,U,POR
Spud Webb 1991-92,1991-92,Spud Webb,Spud Webb,"$1,166,007","$1,726,007","$560,000",77,U,SAC
Georges Niang 2019-20,2019-20,Georges Niang,Georges Niang,"$1,165,509","$2,810,866","$1,645,357",73,U,UTA
Hersey Hawkins 1995-96,1995-96,Hersey Hawkins,Hersey Hawkins,"$1,165,487","$3,665,487","$2,500,000",103,U,OKC
Jon Leuer 2013-14,2013-14,Jon Leuer,Jon Leuer,"$1,165,330","$2,065,330","$900,000",52,U,MEM
Nick Young 2008-09,2008-09,Nick Young,Nick Young,"$1,164,882","$2,767,842","$1,602,960",82,U,WAS
JR Smith 2009-10,2009-10,JR Smith,JR Smith,"$1,164,837","$6,673,263","$5,508,426",81,U,DEN
Kevin Gamble 1990-91,1990-91,Kevin Gamble,Kevin Gamble,"$1,164,658","$1,539,658","$375,000",93,U,BOS
Jaylen Hoard 2019-20,2019-20,Jaylen Hoard,Jaylen Hoard,"$1,164,645","$1,244,213","$79,568",16,U,POR
Norris Cole 2013-14,2013-14,Norris Cole,Norris Cole,"$1,162,967","$2,354,207","$1,191,240",102,U,MIA
Marcin Gortat 2013-14,2013-14,Marcin Gortat,Marcin Gortat,"$1,162,150","$8,889,430","$7,727,280",92,U,WAS
Adrian Griffin 2002-03,2002-03,Adrian Griffin,Adrian Griffin,"$1,161,927","$1,799,362","$637,435",89,U,DAL
Byron Mullens 2012-13,2012-13,Byron Mullens,BJ Mullens,"$1,161,306","$3,414,367","$2,253,061",53,U,CHA
Eddy Curry 2003-04,2003-04,Eddy Curry,Eddy Curry,"$1,160,823","$4,240,983","$3,080,160",73,U,CHI
Carl Landry 2012-13,2012-13,Carl Landry,Carl Landry,"$1,159,940","$5,159,940","$4,000,000",93,U,GSW
Davis Bertans 2017-18,2017-18,Davis Bertans,Davis Bertans,"$1,159,646","$2,472,257","$1,312,611",82,U,SAS
Karl Malone 2000-01,2000-01,Karl Malone,Karl Malone,"$1,159,445","$16,909,445","$15,750,000",86,U,UTA
Mark Jackson 2001-02,2001-02,Mark Jackson,Mark Jackson,"$1,158,564","$5,018,564","$3,860,000",82,U,NYK
Terry Porter 1999-00,1999-00,Terry Porter,Terry Porter,"$1,158,302","$3,158,302","$2,000,000",72,U,SAS
Al-Farouq Aminu 2012-13,2012-13,Al-Farouq Aminu,Al-Farouq Aminu,"$1,158,133","$4,105,933","$2,947,800",76,U,NOP
Payton Pritchard 2021-22,2021-22,Payton Pritchard,Payton Pritchard,"$1,158,064","$3,295,504","$2,137,440",95,U,BOS
Lawrence Roberts 2006-07,2006-07,Lawrence Roberts,Lawrence Roberts,"$1,157,825","$1,822,034","$664,209",54,U,MEM
Raul Lopez 2004-05,2004-05,Raul Lopez,Raul Lopez,"$1,157,782","$2,155,102","$997,320",31,U,UTA
Troy Murphy 2012-13,2012-13,Troy Murphy,Troy Murphy,"$1,156,803","$1,383,422","$226,619",14,U,DAL
Craig Smith 2008-09,2008-09,Craig Smith,Craig Smith,"$1,156,655","$3,656,655","$2,500,000",74,U,MIN
Keon Clark 2000-01,2000-01,Keon Clark,Keon Clark,"$1,156,010","$2,535,410","$1,379,400",92,U,"DEN, TOR"
Chris Carr 1999-00,1999-00,Chris Carr,Chris Carr,"$1,155,958","$1,245,958","$90,000",57,U,"CHI, GSW"
Bison Dele 1995-96,1995-96,Bison Dele,Bison Dele,"$1,154,710","$3,354,710","$2,200,000",65,U,LAC
Quinton Ross 2006-07,2006-07,Quinton Ross,Quinton Ross,"$1,153,946","$1,925,277","$771,331",81,U,LAC
James Posey 1999-00,1999-00,James Posey,James Posey,"$1,153,707","$2,128,227","$974,520",81,U,DEN
Bradley Beal 2012-13,2012-13,Bradley Beal,Bradley Beal,"$1,153,394","$5,286,674","$4,133,280",56,U,WAS
Ron Mercer 1997-98,1997-98,Ron Mercer,Ron Mercer,"$1,153,158","$2,921,478","$1,768,320",80,U,BOS
David Duke Jr. 2021-22,2021-22,David Duke Jr.,David Duke,"$1,152,985","$1,615,614","$462,629",22,U,BKN
Paul Reed 2020-21,2020-21,Paul Reed,Paul Reed,"$1,152,771","$1,761,899","$609,128",29,U,PHI
Jon Leuer 2011-12,2011-12,Jon Leuer,Jon Leuer,"$1,152,238","$1,625,842","$473,604",46,U,MIL
Chris Silva 2019-20,2019-20,Chris Silva,Chris Silva,"$1,151,387","$1,618,305","$466,918",44,U,MIA
DeAndre Liggins 2013-14,2013-14,DeAndre Liggins,DeAndre Liggins,"$1,150,340","$1,238,769","$88,429",1,U,MIA
Jared Dudley 2007-08,2007-08,Jared Dudley,Jared Dudley,"$1,150,091","$2,287,091","$1,137,000",73,U,CHA
Justin Anderson 2016-17,2016-17,Justin Anderson,Justin Anderson,"$1,150,058","$2,664,218","$1,514,160",75,U,"DAL, PHI"
J.R. Reid 1998-99,1998-99,J.R. Reid,J.R. Reid,"$1,149,574","$1,929,574","$780,000",49,U,"CHA, LAL"
Rick Fox 1996-97,1996-97,Rick Fox,Rick Fox,"$1,149,398","$2,899,398","$1,750,000",76,U,BOS
Cheick Diallo 2016-17,2016-17,Cheick Diallo,Cheick Diallo,"$1,148,964","$1,692,435","$543,471",17,U,NOP
Alex Caruso 2019-20,2019-20,Alex Caruso,Alex Caruso,"$1,148,611","$3,898,611","$2,750,000",85,U,LAL
Matthew Dellavedova 2014-15,2014-15,Matthew Dellavedova,Matthew Dellavedova,"$1,147,489","$1,963,971","$816,482",87,U,CLE
Kendall Gill 2003-04,2003-04,Kendall Gill,Kendall Gill,"$1,146,944","$2,216,944","$1,070,000",56,U,CHI
Matt Harpring 1998-99,1998-99,Matt Harpring,Matt Harpring,"$1,146,402","$2,046,402","$900,000",54,U,ORL
Juan Dixon 2005-06,2005-06,Juan Dixon,Juan Dixon,"$1,145,276","$3,645,276","$2,500,000",76,U,POR
Gheorghe Muresan 1995-96,1995-96,Gheorghe Muresan,Gheorghe Muresan,"$1,144,288","$3,107,288","$1,963,000",76,U,WAS
Jerami Grant 2016-17,2016-17,Jerami Grant,Jerami Grant,"$1,143,788","$2,124,219","$980,431",85,U,"OKC, PHI"
James Ennis III 2020-21,2020-21,James Ennis III,James Ennis,"$1,143,060","$4,443,060","$3,300,000",41,U,ORL
Jonas Jerebko 2018-19,2018-19,Jonas Jerebko,Jonas Jerebko,"$1,143,040","$3,308,521","$2,165,481",89,U,GSW
Troy Hudson 1998-99,1998-99,Troy Hudson,Troy Hudson,"$1,142,839","$1,430,339","$287,500",25,U,LAC
Shane Battier 2003-04,2003-04,Shane Battier,Shane Battier,"$1,142,751","$3,676,191","$2,533,440",83,U,MEM
Jamal Sampson 2003-04,2003-04,Jamal Sampson,Jamal Sampson,"$1,141,968","$1,705,647","$563,679",10,U,LAL
Lamar Stevens 2021-22,2021-22,Lamar Stevens,Lamar Stevens,"$1,141,490","$2,659,471","$1,517,981",64,U,CLE
Steve Kerr 1993-94,1993-94,Steve Kerr,Steve Kerr,"$1,140,505","$1,290,505","$150,000",92,U,CHI
Roshown McLeod 2000-01,2000-01,Roshown McLeod,Roshown McLeod,"$1,140,463","$2,119,063","$978,600",35,U,"ATL, PHI"
Darren Collison 2018-19,2018-19,Darren Collison,Darren Collison,"$1,140,244","$11,140,244","$10,000,000",80,U,IND
Mitch Richmond 1995-96,1995-96,Mitch Richmond,Mitch Richmond,"$1,140,010","$4,640,010","$3,500,000",85,U,SAC
John Lucas III 2014-15,2014-15,John Lucas III,John Lucas,"$1,139,894","$1,631,862","$491,968",21,U,
Luc Mbah a Moute 2016-17,2016-17,Luc Mbah a Moute,Luc Mbah a Moute,"$1,139,182","$3,342,182","$2,203,000",87,U,LAC
Kelan Martin 2021-22,2021-22,Kelan Martin,Kelan Martin,"$1,138,968","$2,132,728","$993,760",30,U,"BOS, IND"
Garrison Mathews 2020-21,2020-21,Garrison Mathews,Garrison Mathews,"$1,138,640","$1,826,692","$688,052",69,U,WAS
Mo Williams 2013-14,2013-14,Mo Williams,Maurice Williams,"$1,138,271","$3,790,271","$2,652,000",82,U,POR
Khalid El-Amin 2000-01,2000-01,Khalid El-Amin,Khalid El-Amin,"$1,136,797","$1,453,766","$316,969",50,U,CHI
Marco Belinelli 2011-12,2011-12,Marco Belinelli,Marco Belinelli,"$1,135,839","$4,513,443","$3,377,604",66,U,NOP
Cody Zeller 2015-16,2015-16,Cody Zeller,Cody Zeller,"$1,135,693","$5,339,893","$4,204,200",80,U,CHA
Wayne Selden 2016-17,2016-17,Wayne Selden,Wayne Selden,"$1,135,466","$1,250,553","$115,087",20,U,"MEM, NOP"
Georges Niang 2020-21,2020-21,Georges Niang,Georges Niang,"$1,135,406","$2,918,963","$1,783,557",83,U,UTA
Patrick Ewing 1994-95,1994-95,Patrick Ewing,Patrick Ewing,"$1,135,327","$5,622,027","$4,486,700",90,U,NYK
Ed Davis 2011-12,2011-12,Ed Davis,Ed Davis,"$1,135,256","$3,198,296","$2,063,040",66,U,TOR
Joe Dumars 1991-92,1991-92,Joe Dumars,Joe Dumars,"$1,134,997","$2,429,997","$1,295,000",87,U,DET
Steve Smith 1995-96,1995-96,Steve Smith,Steve Smith,"$1,134,691","$3,702,691","$2,568,000",90,U,ATL
Dan Majerle 1990-91,1990-91,Dan Majerle,Dan Majerle,"$1,133,895","$1,563,895","$430,000",81,U,PHX
Jabari Parker 2014-15,2014-15,Jabari Parker,Jabari Parker,"$1,133,832","$6,064,392","$4,930,560",25,U,MIL
Tony Parker 2010-11,2010-11,Tony Parker,Tony Parker,"$1,133,602","$14,633,602","$13,500,000",84,U,SAS
Kelvin Cato 1999-00,1999-00,Kelvin Cato,Kelvin Cato,"$1,133,428","$2,432,428","$1,299,000",65,U,HOU
Terrence Ross 2013-14,2013-14,Terrence Ross,Terrence Ross,"$1,132,950","$3,811,590","$2,678,640",88,U,TOR
Bryant Reeves 1996-97,1996-97,Bryant Reeves,Bryant Reeves,"$1,132,843","$2,827,843","$1,695,000",75,U,MEM
Erick Strickland 1996-97,1996-97,Erick Strickland,Erick Strickland,"$1,132,366","$1,352,366","$220,000",28,U,DAL
Elfrid Payton 2019-20,2019-20,Elfrid Payton,Elfrid Payton,"$1,131,039","$9,131,039","$8,000,000",45,U,NYK
Justin Holiday 2012-13,2012-13,Justin Holiday,Justin Holiday,"$1,130,610","$1,206,830","$76,220",9,U,PHI
Ray Allen 2004-05,2004-05,Ray Allen,Ray Allen,"$1,129,271","$15,754,271","$14,625,000",89,U,OKC
Alan Williams 2015-16,2015-16,Alan Williams,Alan Williams,"$1,128,969","$1,243,253","$114,284",10,U,PHX
Jordan Farmar 2008-09,2008-09,Jordan Farmar,Jordan Farmar,"$1,128,209","$2,208,209","$1,080,000",85,U,LAL
Sergio Rodriguez 2008-09,2008-09,Sergio Rodriguez,Sergio Rodriguez,"$1,127,692","$2,176,492","$1,048,800",85,U,POR
Klay Thompson 2015-16,2015-16,Klay Thompson,Klay Thompson,"$1,127,574","$16,628,574","$15,501,000",104,U,GSW
Cherokee Parks 2002-03,2002-03,Cherokee Parks,Cherokee Parks,"$1,127,520","$1,952,455","$824,935",30,U,LAC
Brad Wanamaker 2018-19,2018-19,Brad Wanamaker,Brad Wanamaker,"$1,127,244","$1,965,708","$838,464",40,U,BOS
Steve Smith 1996-97,1996-97,Steve Smith,Steve Smith,"$1,127,242","$5,627,242","$4,500,000",82,U,ATL
Mason Jones 2020-21,2020-21,Mason Jones,Mason Jones,"$1,127,046","$1,551,590","$424,544",32,U,"HOU, PHI"
Marquis Teague 2017-18,2017-18,Marquis Teague,Marquis Teague,"$1,126,750","$1,284,694","$157,944",3,U,MEM
David Wesley 1994-95,1994-95,David Wesley,David Wesley,"$1,126,670","$1,376,670","$250,000",51,U,BOS
Monta Ellis 2005-06,2005-06,Monta Ellis,Monta Ellis,"$1,126,614","$1,575,376","$448,762",49,U,GSW
Nico Mannion 2020-21,2020-21,Nico Mannion,Nico Mannion,"$1,126,017","$1,575,132","$449,115",30,U,GSW
Jeff Hornacek 1990-91,1990-91,Jeff Hornacek,Jeff Hornacek,"$1,125,450","$2,225,450","$1,100,000",84,U,PHX
Anthony Brown 2017-18,2017-18,Anthony Brown,Anthony Brown,"$1,125,440","$1,202,690","$77,250",1,U,MIN
Bo Outlaw 1998-99,1998-99,Bo Outlaw,Bo Outlaw,"$1,125,331","$2,275,331","$1,150,000",35,U,ORL
Eddie Robinson 1999-00,1999-00,Eddie Robinson,Eddie Robinson,"$1,125,222","$1,725,222","$600,000",71,U,CHA
Hersey Hawkins 1997-98,1997-98,Hersey Hawkins,Hersey Hawkins,"$1,124,811","$4,248,911","$3,124,100",92,U,OKC
Walter McCarty 2003-04,2003-04,Walter McCarty,Walter McCarty,"$1,123,478","$2,323,478","$1,200,000",81,U,BOS
John Salmons 2003-04,2003-04,John Salmons,John Salmons,"$1,123,103","$1,988,423","$865,320",77,U,PHI
Eric Piatkowski 2000-01,2000-01,Eric Piatkowski,Eric Piatkowski,"$1,121,805","$3,321,805","$2,200,000",81,U,LAC
Ivica Zubac 2020-21,2020-21,Ivica Zubac,Ivica Zubac,"$1,120,499","$8,120,499","$7,000,000",89,U,LAC
Andre Miller 2006-07,2006-07,Andre Miller,Andre Miller,"$1,120,056","$9,853,389","$8,733,333",80,U,"DEN, PHI"
Amar'e Stoudemire 2015-16,2015-16,Amar'e Stoudemire,Amare Stoudemire,"$1,119,183","$2,618,370","$1,499,187",61,U,MIA
Eric Snow 1999-00,1999-00,Eric Snow,Eric Snow,"$1,119,154","$4,119,154","$3,000,000",87,U,PHI
Doug McDermott 2016-17,2016-17,Doug McDermott,Doug McDermott,"$1,118,840","$3,601,880","$2,483,040",71,U,"CHI, OKC"
Alex Caruso 2020-21,2020-21,Alex Caruso,Alex Caruso,"$1,118,741","$3,868,741","$2,750,000",65,U,LAL
Rasual Butler 2014-15,2014-15,Rasual Butler,Rasual Butler,"$1,118,718","$2,567,208","$1,448,490",77,U,WAS
Sam Young 2009-10,2009-10,Sam Young,Sam Young,"$1,118,260","$1,942,460","$824,200",80,U,MEM
Greg Buckner 2000-01,2000-01,Greg Buckner,Greg Buckner,"$1,117,961","$2,217,961","$1,100,000",42,U,DAL
Marcus Thornton 2016-17,2016-17,Marcus Thornton,Marcus Thornton,"$1,117,932","$2,433,380","$1,315,448",33,U,WAS
Dell Curry 1993-94,1993-94,Dell Curry,Dell Curry,"$1,117,874","$2,157,874","$1,040,000",82,U,CHA
Anthony Parker 2009-10,2009-10,Anthony Parker,Anthony Parker,"$1,117,522","$3,761,752","$2,644,230",92,U,CLE
Rakeem Christmas 2015-16,2015-16,Rakeem Christmas,Rakeem Christmas,"$1,117,485","$2,124,511","$1,007,026",1,U,IND
A.C. Green 1993-94,1993-94,A.C. Green,A.C. Green,"$1,117,073","$3,002,073","$1,885,000",92,U,PHX
Travis Best 2004-05,2004-05,Travis Best,Travis Best,"$1,115,533","$2,115,533","$1,000,000",80,U,BKN
Rasheed Wallace 2012-13,2012-13,Rasheed Wallace,Rasheed Wallace,"$1,114,956","$2,467,137","$1,352,181",21,U,NYK
Ryan Bowen 2001-02,2001-02,Ryan Bowen,Ryan Bowen,"$1,113,819","$1,744,669","$630,850",75,U,DEN
Willie Green 2011-12,2011-12,Willie Green,Willie Green,"$1,112,983","$2,336,149","$1,223,166",58,U,ATL
Gary Trent 1997-98,1997-98,Gary Trent,Gary Trent,"$1,112,806","$2,441,815","$1,329,009",54,U,"POR, TOR"
Derek Fisher 1997-98,1997-98,Derek Fisher,Derek Fisher,"$1,112,329","$1,815,529","$703,200",95,U,LAL
Dikembe Mutombo 2007-08,2007-08,Dikembe Mutombo,Dikembe Mutombo,"$1,112,262","$2,331,852","$1,219,590",45,U,HOU
Chris Porter 2000-01,2000-01,Chris Porter,Chris Porter,"$1,112,143","$1,429,112","$316,969",51,U,GSW
Kyle Weaver 2008-09,2008-09,Kyle Weaver,Kyle Weaver,"$1,112,055","$1,918,507","$806,452",56,U,OKC
Ronny Turiaf 2006-07,2006-07,Ronny Turiaf,Ronny Turiaf,"$1,112,000","$1,776,209","$664,209",76,U,LAL
Isaiah Rider 2000-01,2000-01,Isaiah Rider,Isaiah Rider,"$1,110,661","$1,846,661","$736,000",67,U,LAL
Marreese Speights 2009-10,2009-10,Marreese Speights,Marreese Speights,"$1,109,742","$2,768,022","$1,658,280",62,U,PHI
Nikola Vucevic 2015-16,2015-16,Nikola Vucevic,Nikola Vucevic,"$1,107,690","$12,357,690","$11,250,000",65,U,ORL
Joe Smith 1996-97,1996-97,Joe Smith,Joe Smith,"$1,107,026","$3,901,026","$2,794,000",80,U,GSW
Arvydas Sabonis 1996-97,1996-97,Arvydas Sabonis,Arvydas Sabonis,"$1,106,182","$3,746,182","$2,640,000",73,U,POR
Larry Johnson 1969 1992-93,1992-93,Larry Johnson 1969,Larry Johnson,"$1,105,511","$3,645,511","$2,540,000",91,U,
Dominique Wilkins 1993-94,1993-94,Dominique Wilkins,Dominique Wilkins,"$1,105,232","$4,605,232","$3,500,000",74,U,"ATL, LAC"
Vincent Yarbrough 2002-03,2002-03,Vincent Yarbrough,Vincent Yarbrough,"$1,104,545","$1,454,003","$349,458",59,U,DEN
Mike Miller 2000-01,2000-01,Mike Miller,Mike Miller,"$1,103,674","$3,423,754","$2,320,080",86,U,ORL
Micah Potter 2021-22,2021-22,Micah Potter,Micah Potter,"$1,103,335","$1,156,511","$53,176",3,U,DET
Byron Mullens 2011-12,2011-12,Byron Mullens,BJ Mullens,"$1,102,322","$2,390,522","$1,288,200",65,U,CHA
Chucky Brown 1998-99,1998-99,Chucky Brown,Chucky Brown,"$1,102,011","$1,952,011","$850,000",48,U,CHA
George Lynch 1999-00,1999-00,George Lynch,George Lynch,"$1,101,214","$3,101,214","$2,000,000",85,U,PHI
Mike Batiste 2002-03,2002-03,Mike Batiste,Mike Batiste,"$1,100,697","$1,450,155","$349,458",75,U,MEM
Ish Smith 2017-18,2017-18,Ish Smith,Ishmael Smith,"$1,100,279","$7,100,279","$6,000,000",82,U,DET
Kenny Thomas 1999-00,1999-00,Kenny Thomas,Kenny Thomas,"$1,100,246","$1,923,686","$823,440",72,U,HOU
Drazen Petrovic 1992-93,1992-93,Drazen Petrovic,Drazen Petrovic,"$1,098,358","$2,713,358","$1,615,000",75,U,BKN
Jelani McCoy 1998-99,1998-99,Jelani McCoy,Jelani McCoy,"$1,098,168","$1,385,668","$287,500",26,U,OKC
Marcus Georges-Hunt 2016-17,2016-17,Marcus Georges-Hunt,Marcus Georges-Hunt,"$1,097,028","$1,185,964","$88,936",5,U,ORL
Eric Bledsoe 2010-11,2010-11,Eric Bledsoe,Eric Bledsoe,"$1,096,322","$2,581,322","$1,485,000",81,U,LAC
CJ Miles 2013-14,2013-14,CJ Miles,CJ Miles,"$1,095,383","$3,320,383","$2,225,000",51,U,CLE
Timofey Mozgov 2014-15,2014-15,Timofey Mozgov,Timofey Mozgov,"$1,093,782","$5,743,782","$4,650,000",101,U,"CLE, DEN"
Brandon Sampson 2018-19,2018-19,Brandon Sampson,Brandon Sampson,"$1,092,731","$1,169,981","$77,250",14,U,CHI
Vernon Maxwell 1990-91,1990-91,Vernon Maxwell,Vernon Maxwell,"$1,091,244","$1,341,244","$250,000",85,U,HOU
Antoine Walker 1996-97,1996-97,Antoine Walker,Antoine Walker,"$1,090,682","$2,710,682","$1,620,000",82,U,BOS
George McCloud 1997-98,1997-98,George McCloud,George McCloud,"$1,090,536","$1,362,786","$272,250",67,U,PHX
Micheal Williams 1990-91,1990-91,Micheal Williams,Micheal Williams,"$1,090,351","$1,415,351","$325,000",78,U,IND
Adreian Payne 2017-18,2017-18,Adreian Payne,Adreian Payne,"$1,090,194","$1,167,444","$77,250",5,U,ORL
Willie Reed 2015-16,2015-16,Willie Reed,Willie Reed,"$1,089,925","$1,615,018","$525,093",39,U,BKN
Scott Padgett 2002-03,2002-03,Scott Padgett,Scott Padgett,"$1,089,308","$1,701,743","$612,435",86,U,UTA
Reggie Miller 1998-99,1998-99,Reggie Miller,Reggie Miller,"$1,089,296","$7,870,296","$6,781,000",63,U,IND
Chris Mullin 1996-97,1996-97,Chris Mullin,Chris Mullin,"$1,089,140","$3,933,140","$2,844,000",79,U,GSW
Glen Rice 1991-92,1991-92,Glen Rice,Glen Rice,"$1,089,049","$2,391,049","$1,302,000",82,U,MIA
Alvin Robertson 1990-91,1990-91,Alvin Robertson,Alvin Robertson,"$1,088,944","$1,958,944","$870,000",84,U,MIL
Jae Crowder 2012-13,2012-13,Jae Crowder,Jae Crowder,"$1,088,553","$1,689,044","$600,491",78,U,DAL
Chasson Randle 2016-17,2016-17,Chasson Randle,Chasson Randle,"$1,087,425","$1,628,595","$541,170",26,U,"NYK, PHI"
Jumaine Jones 2002-03,2002-03,Jumaine Jones,Jumaine Jones,"$1,086,181","$2,505,207","$1,419,026",80,U,CLE
Chris Douglas-Roberts 2008-09,2008-09,Chris Douglas-Roberts,Chris Douglas-Roberts,"$1,086,029","$1,528,440","$442,411",44,U,BKN
Matt Barnes 2010-11,2010-11,Matt Barnes,Matt Barnes,"$1,085,693","$2,850,693","$1,765,000",63,U,LAL
Zaza Pachulia 2005-06,2005-06,Zaza Pachulia,Zaza Pachulia,"$1,085,160","$5,085,160","$4,000,000",78,U,ATL
Brian Grant 1994-95,1994-95,Brian Grant,Brian Grant,"$1,084,299","$1,892,299","$808,000",80,U,SAC
Jumaine Jones 2005-06,2005-06,Jumaine Jones,Jumaine Jones,"$1,083,873","$2,958,873","$1,875,000",76,U,CHA
Eddie House 2008-09,2008-09,Eddie House,Eddie House,"$1,083,748","$3,733,748","$2,650,000",95,U,BOS
Jason Kidd 1997-98,1997-98,Jason Kidd,Jason Kidd,"$1,082,912","$6,306,245","$5,223,333",86,U,PHX
Gerald Green 2015-16,2015-16,Gerald Green,Gerald Green,"$1,081,727","$2,444,624","$1,362,897",81,U,MIA
Theo Pinson 2018-19,2018-19,Theo Pinson,Theo Pinson,"$1,081,447","$1,158,697","$77,250",21,U,BKN
Alex Len 2017-18,2017-18,Alex Len,Alex Len,"$1,080,605","$5,268,204","$4,187,599",69,U,PHX
Norris Cole 2012-13,2012-13,Norris Cole,Norris Cole,"$1,080,196","$2,193,796","$1,113,600",101,U,MIA
Tim Frazier 2018-19,2018-19,Tim Frazier,Tim Frazier,"$1,079,538","$2,911,645","$1,832,107",70,U,"MIL, NOP"
Kurt Thomas 2000-01,2000-01,Kurt Thomas,Kurt Thomas,"$1,078,900","$4,758,900","$3,680,000",82,U,NYK
Josh Okogie 2018-19,2018-19,Josh Okogie,Josh Okogie,"$1,077,738","$3,241,338","$2,163,600",74,U,MIN
Kurt Thomas 2002-03,2002-03,Kurt Thomas,Kurt Thomas,"$1,076,932","$5,980,682","$4,903,750",81,U,NYK
Vander Blue 2014-15,2014-15,Vander Blue,Vander Blue,"$1,076,728","$1,124,756","$48,028",2,U,LAL
Nate Robinson 2005-06,2005-06,Nate Robinson,Nate Robinson,"$1,076,710","$2,179,390","$1,102,680",72,U,NYK
Alan Anderson 2013-14,2013-14,Alan Anderson,Alan Anderson,"$1,076,445","$2,024,352","$947,907",90,U,BKN
Leandro Barbosa 2014-15,2014-15,Leandro Barbosa,Leandro Barbosa,"$1,075,077","$2,523,567","$1,448,490",87,U,GSW
Felipe Lopez 2000-01,2000-01,Felipe Lopez,Felipe Lopez,"$1,075,047","$1,906,167","$831,120",74,U,"MIN, WAS"
Kurt Thomas 2010-11,2010-11,Kurt Thomas,Kurt Thomas,"$1,074,052","$2,426,233","$1,352,181",59,U,CHI
DeJuan Blair 2012-13,2012-13,DeJuan Blair,DeJuan Blair,"$1,073,683","$2,127,683","$1,054,000",73,U,SAS
Damion Lee 2021-22,2021-22,Damion Lee,Damion Lee,"$1,072,277","$2,983,137","$1,910,860",79,U,GSW
Anthony Randolph 2008-09,2008-09,Anthony Randolph,Anthony Randolph,"$1,072,193","$2,781,473","$1,709,280",63,U,GSW
Jabari Bird 2017-18,2017-18,Jabari Bird,Jabari Bird,"$1,071,352","$1,148,602","$77,250",13,U,BOS
Malcolm Hill 2021-22,2021-22,Malcolm Hill,Malcolm Hill,"$1,070,220","$1,394,593","$324,373",19,U,"ATL, CHI"
Sebastian Telfair 2014-15,2014-15,Sebastian Telfair,Sebastian Telfair,"$1,069,793","$2,386,602","$1,316,809",16,U,OKC
Archie Goodwin 2015-16,2015-16,Archie Goodwin,Archie Goodwin,"$1,066,935","$2,227,095","$1,160,160",57,U,PHX
Norris Cole 2014-15,2014-15,Norris Cole,Norris Cole,"$1,066,548","$3,216,736","$2,150,188",79,U,"MIA, NOP"
Reggie Miller 1993-94,1993-94,Reggie Miller,Reggie Miller,"$1,065,567","$4,076,567","$3,011,000",95,U,IND
Patrick Beverley 2018-19,2018-19,Patrick Beverley,Patrick Beverley,"$1,065,292","$6,092,320","$5,027,028",84,U,LAC
Eric Williams 1996-97,1996-97,Eric Williams,Eric Williams,"$1,064,788","$2,072,788","$1,008,000",72,U,BOS
Dion Waiters 2012-13,2012-13,Dion Waiters,Dion Waiters,"$1,064,649","$4,791,249","$3,726,600",61,U,CLE
Lou Amundson 2009-10,2009-10,Lou Amundson,Louis Amundson,"$1,063,931","$1,919,120","$855,189",95,U,PHX
Hollis Thompson 2013-14,2013-14,Hollis Thompson,Hollis Thompson,"$1,063,788","$1,553,968","$490,180",77,U,PHI
Terry Porter 1990-91,1990-91,Terry Porter,Terry Porter,"$1,063,553","$3,063,553","$2,000,000",97,U,POR
Elijah Millsap 2014-15,2014-15,Elijah Millsap,Elijah Millsap,"$1,063,147","$1,364,564","$301,417",47,U,UTA
